Multiloja;CodTratado;CodAlternat;DataPrioridade;DataPedido;StatusPedido
0;600050812300;163906151;0;26/09/2025;0
0;600050821000;163809520;0;26/09/2025;0
0;600050820800;163906161;0;26/09/2025;0
0;600050815900;323360405;0;26/09/2025;0
0;600050815000;123445107;0;26/09/2025;0
0;600050819000;123429066;0;26/09/2025;0
0;600050816000;323360405;0;26/09/2025;0
0;600050811700;124603086;0;26/09/2025;0
0;600050813900;123429006;0;26/09/2025;0
0;600050813000;123429006;0;26/09/2025;0
0;600050821400;125625100;0;26/09/2025;0
0;600050814000;123850103;0;26/09/2025;0
0;600050819400;323360405166902075;0;26/09/2025;0
0;600050813800;463924020;0;26/09/2025;0
0;600050815400;123072187;0;26/09/2025;0
0;600050811800;120056024;0;26/09/2025;0
0;600050820700;1023365480;0;26/09/2025;0
0;600050821300;125106400;0;26/09/2025;0
0;600050812900;125674100;0;26/09/2025;0
0;600050820900;125963100;0;26/09/2025;0
0;600050820600;120056026;0;26/09/2025;0
0;600050815700;163906151;0;26/09/2025;0
0;600050814600;196980050;0;26/09/2025;0
0;600050816100;163906101;0;26/09/2025;0
0;633195888200;177498404;0;26/09/2025;0
0;600050820000;163809100163809490163809500;0;26/09/2025;0
0;600050820100;163906101;0;26/09/2025;0
0;633195888100;477850224;0;26/09/2025;0
0;600050812000;123429006;0;26/09/2025;0
0;600050815300;163906190;0;26/09/2025;0
0;633195889200;177553015;0;27/09/2025;0
0;600051002000;166906201;0;27/09/2025;0
0;600050826800;122210203;0;27/09/2025;0
0;600050826900;566906041;0;27/09/2025;0
0;600050827500;122210203;0;27/09/2025;0
0;600050827000;122901006;0;27/09/2025;0
0;600050825700;324473180;0;27/09/2025;0
0;600050827400;166906081;0;27/09/2025;0
0;600050827700;126400100;0;27/09/2025;0
0;600050827900;163906161;0;27/09/2025;0
0;600050826300;121187170;0;27/09/2025;0
0;600050825900;161781390;0;27/09/2025;0
0;600051000400;322207300;0;27/09/2025;0
0;600051001500;124473180;0;27/09/2025;0
0;600051001600;163906151;0;27/09/2025;0
0;600051000700;323360405;0;27/09/2025;0
0;600050827800;222211204;0;27/09/2025;0
0;600050826600;163812471;0;27/09/2025;0
0;633195888800;141120113;0;27/09/2025;0
0;633195889100;141502001;0;27/09/2025;0
0;600050826200;261992200;0;27/09/2025;0
0;600050827200;123422068;0;27/09/2025;0
0;600051001900;162487160;0;27/09/2025;0
0;600051001400;161781390;0;27/09/2025;0
0;600051001800;163906101;0;27/09/2025;0
0;633195888900;177850184;0;27/09/2025;0
0;600050826500;163906210;0;27/09/2025;0
0;600050826100;222307300;0;27/09/2025;0
0;600051001000;163962100;0;27/09/2025;0
0;600050825800;120579004;0;27/09/2025;0
0;600050825600;163999300;0;27/09/2025;0
0;600050827100;120260716;0;27/09/2025;0
0;600050826000;163815091;0;27/09/2025;0
0;600051001700;423367380;0;27/09/2025;0
0;600051000500;322211204;0;27/09/2025;0
0;600050826700;296011231;0;27/09/2025;0
0;600051000800;323360485;0;27/09/2025;0
0;600050827600;266906041;0;27/09/2025;0
0;600051000600;323360485;0;27/09/2025;0
0;881857926500;257106204;0;27/09/2025;0
0;600050814700;124603087;0;27/09/2025;0
0;600050827300;120849024;0;28/09/2025;0
0;644699040000;292411040;0;28/09/2025;0
0;644699039900;292866009492866009;0;28/09/2025;0
0;881857926400;556150020556154001;0;28/09/2025;0
0;644699039800;492866009;0;28/09/2025;0
0;600051518000;623362400;0;04/10/2025;0
0;600051516900;163950190;0;04/10/2025;0
0;600051007700;263950190;0;04/10/2025;0
0;600051004600;163906161;0;04/10/2025;0
0;600051007900;126400100;0;04/10/2025;0
0;600051008500;126400100;0;04/10/2025;0
0;881857927700;856151010;0;04/10/2025;0
0;600051518600;296950082;0;04/10/2025;0
0;600051515000;196589045;0;04/10/2025;0
0;600051514900;196950231;0;04/10/2025;0
0;600051516500;163950017;0;04/10/2025;0
0;600051006700;122215007;0;04/10/2025;0
0;633195889700;142246117;0;04/10/2025;0
0;600051006900;125968100;0;04/10/2025;0
0;600051008200;164400300;0;04/10/2025;0
0;600051511400;164400300;0;04/10/2025;0
0;600051011300;266906141;0;04/10/2025;0
0;600051515700;363950017;0;04/10/2025;0
0;600051517200;923360405;0;04/10/2025;0
0;600051004900;323360405;0;04/10/2025;0
0;600051006500;923360405;0;04/10/2025;0
0;600051008700;323360405;0;04/10/2025;0
0;600051510600;323360405;0;04/10/2025;0
0;600051007800;122211204;0;05/10/2025;0
0;600051002600;122953006;0;05/10/2025;0
0;600051516600;323360405;0;05/10/2025;0
0;600051004100;163809230163809410;0;05/10/2025;0
0;600051006300;122953006;0;05/10/2025;0
0;600051518700;225621180;0;05/10/2025;0
0;600051515300;166906041;0;05/10/2025;0
0;600051517100;161992200;0;05/10/2025;0
0;881857927800;457401002;0;05/10/2025;0
0;600051516700;161426170;0;05/10/2025;0
0;600051512100;466906201;0;05/10/2025;0
0;600051513800;161992180161992200161992220;0;05/10/2025;0
0;600051008900;166906201;0;05/10/2025;0
0;600051514300;163999450;0;05/10/2025;0
0;600051518800;161992200;0;05/10/2025;0
0;600051005500;266906041;0;05/10/2025;0
0;600051511500;623360405;0;05/10/2025;0
0;600051517400;122200305;0;05/10/2025;0
0;600051512000;323360405;0;05/10/2025;0
0;600051008000;123422008;0;05/10/2025;0
0;600051008400;123422008;0;05/10/2025;0
0;600051005100;125588132;0;05/10/2025;0
0;600051005200;113290102;0;05/10/2025;0
0;600051008100;161229560;0;05/10/2025;0
0;600051006100;161229040;0;05/10/2025;0
0;600051005400;223422067;0;05/10/2025;0
0;600051511300;122211204;0;05/10/2025;0
0;600051513600;623360405;0;05/10/2025;0
0;600051008300;163809560;0;05/10/2025;0
0;600051511700;222211204;0;05/10/2025;0
0;600051517900;323360405;0;05/10/2025;0
0;600051002900;125582130;0;05/10/2025;0
0;600051501700;120384012;0;05/10/2025;0
0;600051509400;163906151;0;05/10/2025;0
0;600051515600;422211204;0;05/10/2025;0
0;600051006600;123429066;0;05/10/2025;0
0;600051004500;164430911;0;05/10/2025;0
0;600051515100;121136070;0;05/10/2025;0
0;600051004800;923360485;0;05/10/2025;0
0;600051512700;163906470;0;05/10/2025;0
0;600051510500;122211204;0;05/10/2025;0
0;600051511000;126400100163809410;0;05/10/2025;0
0;600051512400;123445107;0;05/10/2025;0
0;600051511800;163906161;0;05/10/2025;0
0;600051512300;161999160;0;05/10/2025;0
0;600051511900;863950027;0;05/10/2025;0
0;600051011200;166970000;0;05/10/2025;0
0;600051501800;163800845;0;05/10/2025;0
0;600051516300;166970000;0;05/10/2025;0
0;600051514100;163906401;0;05/10/2025;0
0;600051515400;163906161;0;05/10/2025;0
0;600051007000;223854105;0;05/10/2025;0
0;881857927500;457170001;0;05/10/2025;0
0;600051008600;323360405;0;05/10/2025;0
0;600051509300;124473187;0;05/10/2025;0
0;600051517800;122210203;0;05/10/2025;0
0;633195890100;143505002;0;05/10/2025;0
0;600051011500;125056160;0;05/10/2025;0
0;600051512800;122211204;0;05/10/2025;0
0;600051512200;161999190;0;05/10/2025;0
0;600051514600;121198715;0;05/10/2025;0
0;600051517500;122211204;0;05/10/2025;0
0;600051511600;123422008;0;05/10/2025;0
0;600051510700;122210203;0;05/10/2025;0
0;600051007400;266906071;0;05/10/2025;0
0;600051511200;122953006;0;05/10/2025;0
0;881857927600;157106204;0;05/10/2025;0
0;600051514500;1223360485;0;05/10/2025;0
0;600051513700;663962032;0;05/10/2025;0
0;600051004300;323360485;0;05/10/2025;0
0;600051004700;1023365410;0;05/10/2025;0
0;881857927000;1956132005;0;05/10/2025;0
0;633195890300;177380540177381145177850224178592000;0;05/10/2025;0
0;600051006400;623360485;0;05/10/2025;0
0;600051002700;121177196;0;05/10/2025;0
0;633195890400;177855261;0;05/10/2025;0
0;633195889600;177855261;0;05/10/2025;0
0;600051511100;263917200;0;05/10/2025;0
0;600051007600;266902185;0;05/10/2025;0
0;600051512900;120849020;0;05/10/2025;0
0;633195890000;177850184;0;05/10/2025;0
0;600051509500;166917160;0;05/10/2025;0
0;600051515500;123160914;0;05/10/2025;0
0;600051006200;124609082;0;05/10/2025;0
0;600051011100;263962150;0;05/10/2025;0
0;600051007300;123426066;0;05/10/2025;0
0;600051514000;263929010;0;05/10/2025;0
0;600051517600;123419063;0;05/10/2025;0
0;600051006000;121192170;0;05/10/2025;0
0;600051516400;296010237;0;05/10/2025;0
0;633195889300;142026101;0;05/10/2025;0
0;600051508500;124621080;0;05/10/2025;0
0;600051007200;162718334;0;05/10/2025;0
0;600051007100;121175170;0;05/10/2025;0
0;600051517300;125963100;0;05/10/2025;0
0;633195889500;177850184;0;05/10/2025;0
0;881857927300;157304003;0;05/10/2025;0
0;600051005300;163962210;0;05/10/2025;0
0;881857928000;157145015;0;05/10/2025;0
0;633195889900;177850184;0;05/10/2025;0
0;600051516800;223112020;0;05/10/2025;0
0;881857927900;357145015;0;05/10/2025;0
0;600051515900;124001003;0;05/10/2025;0
0;600051516100;120380716;0;05/10/2025;0
0;600051009000;121199781;0;05/10/2025;0
0;881857927200;157304003;0;05/10/2025;0
0;600051008800;125966100;0;05/10/2025;0
0;600051516000;323360405;0;05/10/2025;0
0;600051518100;623182420123375082;0;05/10/2025;0
0;600051518500;161772030;0;05/10/2025;0
0;633195889400;144023101;0;05/10/2025;0
0;600051004400;323360405;0;05/10/2025;0
0;600051004200;323360405;0;05/10/2025;0
0;600051011400;125963100;0;05/10/2025;0
0;881857927400;257403102157403103;0;05/10/2025;0
0;600051009100;163809490;0;05/10/2025;0
0;600051514400;163809490;0;05/10/2025;0
0;600051007500;125588132;0;05/10/2025;0
0;600051512500;161992220;0;05/10/2025;0
0;600051514200;163906191;0;05/10/2025;0
0;600051006800;161992220;0;05/10/2025;0
0;600051513900;163906191;0;05/10/2025;0
0;600051517700;163906191;0;05/10/2025;0
0;600051518900;163906191;0;05/10/2025;0
0;600051515800;125588132;0;05/10/2025;0
0;600051515200;261992220;0;06/10/2025;0
0;600051501000;120579004;0;06/10/2025;0
0;600051519000;196600125;0;06/10/2025;0
0;600051520000;166960510;0;06/10/2025;0
0;600051516200;162655240;0;06/10/2025;0
0;600051002800;125575170;0;06/10/2025;0
0;633195889800;143204916;0;06/10/2025;0
0;600051512600;123443106;0;06/10/2025;0
0;600051519500;163906191;0;06/10/2025;0
0;600051520300;323360405;0;06/10/2025;0
0;600051519400;161310521;0;06/10/2025;0
0;600051519100;125967100;0;06/10/2025;0
0;600051519200;162416980;0;06/10/2025;0
0;881857928300;157115003;0;06/10/2025;0
0;600051520200;161483992;0;06/10/2025;0
0;633195890500;126620018;0;06/10/2025;0
0;600051519800;120380016;0;06/10/2025;0
0;600051519300;163906191;0;06/10/2025;0
0;600051520400;323360415;0;06/10/2025;0
0;600051519900;123861108;0;06/10/2025;0
0;600051520100;323362400;0;06/10/2025;0
0;600051523100;125699039;0;06/10/2025;0
0;600051519700;122211204;0;06/10/2025;0
0;600051526300;1263986060563986060;0;09/10/2025;0
0;600051525700;163902191;0;09/10/2025;0
0;600051005000;113211052;0;09/10/2025;0
0;600051526100;261223690;0;09/10/2025;0
0;881857929000;157145015;0;09/10/2025;0
0;881857927100;257403055;0;09/10/2025;0
0;600051525900;163902210;0;09/10/2025;0
0;600051526000;266962160;0;09/10/2025;0
0;600051526500;123427000;0;09/10/2025;0
0;600051527300;123422068;0;09/10/2025;0
0;600051525600;161636057;0;09/10/2025;0
0;600051525800;323362470;0;09/10/2025;0
0;600051527200;1263950017;0;09/10/2025;0
0;600051527700;163906210;0;09/10/2025;0
0;600051527000;161229040;0;09/10/2025;0
0;600051527400;1223366480;0;09/10/2025;0
0;600051526200;263813220;0;09/10/2025;0
0;600051527600;161315434;0;09/10/2025;0
0;600051526400;266906051;0;09/10/2025;0
0;881857929100;157203001;0;10/10/2025;0
0;600051527500;161224281;0;10/10/2025;0
0;600051523600;623360405;0;10/10/2025;0
0;600051520900;161440350;0;10/10/2025;0
0;600051523200;161992220;0;10/10/2025;0
0;600051523300;423367300;0;10/10/2025;0
0;600051522600;323360475;0;10/10/2025;0
0;881857928800;657203001257203023;0;10/10/2025;0
0;600051520700;125163100;0;10/10/2025;0
0;644699040200;192410010;0;10/10/2025;0
0;633195891000;179172150;0;10/10/2025;0
0;600051530800;162648280;0;10/10/2025;0
0;600051520800;161992200;0;10/10/2025;0
0;600051535400;120849024;0;10/10/2025;0
0;600051523000;123737300;0;10/10/2025;0
0;600051523500;423367310;0;10/10/2025;0
0;600051522100;166906051;0;10/10/2025;0
0;600051521000;122211204;0;10/10/2025;0
0;600051520600;161227120;0;10/10/2025;0
0;600051536600;196950014;0;11/10/2025;0
0;600051522000;124610088;0;11/10/2025;0
0;881857928400;557115003;0;11/10/2025;0
0;600051522900;196011837;0;11/10/2025;0
0;600051523400;263985100;0;11/10/2025;0
0;881857928500;158001152;0;11/10/2025;0
0;600051521900;2163950022;0;11/10/2025;0
0;600051522700;225901105;0;11/10/2025;0
0;600051534900;113274351;0;11/10/2025;0
0;600051535500;296980050;0;11/10/2025;0
0;633195891600;178795806;0;11/10/2025;0
0;600051530900;163929150;0;11/10/2025;0
0;633195890700;377855261;0;11/10/2025;0
0;644699040300;192410010;0;11/10/2025;0
0;600051538800;166917134;0;11/10/2025;0
0;600051536800;196950135;0;11/10/2025;0
0;633195892500;177695202;0;11/10/2025;0
0;633195891900;177855261;0;11/10/2025;0
0;600051540600;463928780;0;11/10/2025;0
0;881857929200;257170085;0;11/10/2025;0
0;633195892600;126622014;0;11/10/2025;0
0;600051535100;162487160;0;11/10/2025;0
0;600051536000;166906061;0;11/10/2025;0
0;633195891100;226622014;0;11/10/2025;0
0;600051537200;163917200;0;11/10/2025;0
0;633195892100;277855261;0;11/10/2025;0
0;600051538300;162508240;0;11/10/2025;0
0;633195892200;144135505;0;11/10/2025;0
0;600051536900;122969008;0;11/10/2025;0
0;633195891400;177850184;0;11/10/2025;0
0;633195890800;177850184;0;11/10/2025;0
0;633195892300;178755004;0;11/10/2025;0
0;600051534700;296580038;0;11/10/2025;0
0;600051537500;623360485;0;11/10/2025;0
0;600051537300;2423185430;0;11/10/2025;0
0;600051536400;122969008;0;11/10/2025;0
0;633195892400;244630102;0;11/10/2025;0
0;633195890600;377855261;0;11/10/2025;0
0;600051534500;122848110;0;11/10/2025;0
0;600051540300;1223185430;0;11/10/2025;0
0;600051535600;323360405;0;11/10/2025;0
0;600051540700;663906052;0;11/10/2025;0
0;600051536500;164430911;0;11/10/2025;0
0;600051540200;363906052;0;11/10/2025;0
0;600051539000;166917160;0;11/10/2025;0
0;600051527900;164430911;0;11/10/2025;0
0;633195891700;142334001;0;11/10/2025;0
0;633195891800;142334001;0;11/10/2025;0
0;600051535900;323360405;0;11/10/2025;0
0;633195891300;178399017;0;11/10/2025;0
